DATETIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
2017-01-16 16:00:00,3.9,1.07,5.19,3.61,4.02,5.25,3.65,95.17,1,95.19,1,0.0,0,35.51,1,0,0,0.0,0,49.52,1,0.0,0,0,0,0.0,0,0,0,100.18,1,2.98,35.57,27.73,73.34,27.69,85.96,31.48,63.73,31.48,57.55,30.39,29.49,attack8
2017-01-16 17:00:00,3.95,1.59,5.23,3.87,3.38,5.04,2.52,94.73,1,94.75,1,0.0,0,0.0,0,0,0,0.0,0,49.73,1,0.0,0,0,0,32.95,1,0,0,98.37,1,2.98,35.8,28.12,72.85,28.08,85.95,28.72,63.09,28.59,68.46,30.77,29.87,attack8
2017-01-16 18:00:00,3.95,2.1,4.6,4.05,2.74,5.26,2.73,95.37,1,95.39,1,0.0,0,0.0,0,0,0,0.0,0,49.62,1,0.0,0,0,0,32.8,1,0,0,94.49,1,2.98,35.46,28.39,72.25,28.35,86.43,28.55,62.3,28.43,68.83,31.01,30.11,attack8
2017-01-16 19:00:00,3.9,2.57,4.22,4.3,2.08,5.49,2.99,94.77,1,94.79,1,0.0,0,0.0,0,0,0,0.0,0,49.79,1,0.0,0,0,0,32.76,1,0,0,93.51,1,2.98,35.78,28.79,71.34,28.75,86.5,28.7,61.17,28.57,69.14,31.4,30.5,attack8
2017-01-16 20:00:00,3.89,3.03,3.81,4.46,1.59,5.5,3.49,96.04,1,96.06,1,0.0,0,0.0,0,0,0,0.0,0,0.0,0,36.28,1,0,0,30.16,1,0,0,69.36,1,2.98,35.1,31.34,68.64,31.34,57.44,21.39,81.12,21.28,70.77,33.62,32.72,attack8
2017-01-16 21:00:00,3.71,3.64,3.35,2.91,1.9,5.5,3.89,96.34,1,96.36,1,0.0,0,0.0,0,0,0,0.0,0,50.75,1,35.97,1,0,0,30.94,1,0,0,82.64,1,2.98,34.94,29.24,69.44,29.2,85.06,21.06,81.33,20.94,67.86,31.79,30.89,attack8
2017-01-16 22:00:00,3.52,3.97,3.0,3.01,2.22,5.5,3.54,96.19,1,96.21,1,0.0,0,36.27,1,0,0,0.0,0,51.31,1,35.94,1,0,0,30.75,1,0,0,81.07,1,2.98,35.02,29.47,69.46,29.42,84.16,21.13,81.46,21.02,68.56,32.01,31.11,attack8
2017-01-16 23:00:00,3.36,4.28,3.55,2.74,2.52,5.5,3.45,96.62,1,96.64,1,0.0,0,34.86,1,0,0,0.0,0,50.95,1,35.53,1,0,0,30.71,1,0,0,77.5,1,2.98,34.79,29.64,67.97,29.6,85.06,20.94,82.0,20.83,68.53,32.17,31.27,attack8
2017-01-17 00:00:00,3.19,4.55,4.24,2.85,2.9,5.5,3.38,95.1,1,95.11,1,0.0,0,35.74,1,0,0,0.0,0,50.97,1,35.49,1,0,0,30.67,1,0,0,80.31,1,2.98,35.6,30.03,68.91,29.99,85.4,21.64,82.76,21.52,69.35,32.57,31.67,attack8
2017-01-17 01:00:00,3.15,4.85,4.47,3.0,3.32,5.5,3.5,95.61,1,95.63,1,0.0,0,33.46,1,0,0,0.0,0,50.04,1,35.15,1,0,0,29.88,1,0,0,76.68,1,2.98,35.33,30.23,72.08,30.19,87.46,21.67,83.38,21.56,71.95,32.74,31.84,attack8
2017-01-17 02:00:00,3.08,5.13,5.05,3.54,3.8,5.5,4.11,95.08,1,95.09,1,0.0,0,33.85,1,0,0,0.0,0,49.81,1,34.8,1,0,0,29.26,1,0,0,76.37,1,2.98,35.62,30.5,71.59,30.46,88.18,22.08,84.39,21.97,74.3,33.01,32.11,attack8
2017-01-17 03:00:00,3.2,5.43,4.96,4.11,3.64,5.42,4.4,93.45,1,93.47,1,0.0,0,0.0,0,0,0,0.0,0,49.64,1,0.0,0,0,0,0.0,0,0,0,82.44,1,2.98,36.48,31.07,71.92,31.03,89.07,31.78,64.04,31.78,60.76,33.62,32.72,attack8
2017-01-17 04:00:00,3.74,5.27,5.0,4.12,3.12,5.18,3.41,86.3,1,86.32,1,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,2.98,40.22,30.27,71.77,30.27,69.34,35.67,63.86,35.67,60.46,44.76,31.46,attack8
2017-01-17 05:00:00,4.33,5.27,4.61,3.37,2.68,4.94,2.64,83.97,1,83.98,1,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,2.98,41.42,30.27,69.71,30.27,66.27,37.03,62.92,37.03,57.67,46.32,31.46,attack8
2017-01-17 06:00:00,4.66,4.57,4.49,3.07,2.13,5.2,3.08,110.98,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,46.53,1,0.0,0,0,0,32.74,1,0,0,0.0,0,2.99,26.9,23.19,101.91,23.33,87.08,29.76,61.66,29.64,70.28,39.36,25.13,attack8
2017-01-17 07:00:00,4.76,3.59,4.13,3.79,1.53,5.5,3.63,111.38,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,47.34,1,36.36,1,0,0,30.35,1,0,0,0.0,0,2.99,26.68,26.8,72.53,26.76,89.09,23.04,82.61,22.93,71.79,39.11,28.16,attack8
2017-01-17 08:00:00,4.72,3.15,4.16,4.4,2.0,5.5,4.16,111.35,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,36.78,1,0,0,30.0,1,0,0,0.0,0,2.99,26.7,28.15,69.13,28.15,63.47,23.01,81.82,22.91,72.91,39.1,29.34,attack8
2017-01-17 09:00:00,4.68,3.14,4.08,2.92,2.29,5.49,4.77,112.3,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,49.77,1,38.12,1,0,0,0.0,0,0,0,0.0,0,2.99,26.16,26.17,69.03,26.13,83.91,28.58,84.85,28.58,58.36,38.81,27.55,attack8
2017-01-17 10:00:00,4.66,2.62,3.51,2.85,2.76,5.13,3.08,112.73,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,49.43,1,38.12,1,0,0,0.0,0,0,0,0.0,0,2.99,25.91,25.67,68.31,25.63,84.08,28.42,84.69,28.42,56.4,38.64,27.04,attack8
2017-01-17 11:00:00,4.51,2.09,3.19,2.88,3.11,5.14,2.63,111.91,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,48.85,1,35.69,1,0,0,31.48,1,0,0,0.0,0,2.99,26.38,25.19,67.89,25.15,84.7,22.6,83.37,22.49,67.58,38.8,26.56,attack8
2017-01-17 12:00:00,4.45,1.34,3.3,3.07,3.56,5.32,2.71,112.89,1,0.0,0,0.0,0,36.99,1,0,0,0.0,0,46.65,1,35.78,1,0,0,31.32,1,0,0,0.0,0,2.99,25.82,19.77,97.82,19.92,83.45,22.15,82.77,22.04,67.68,38.36,21.74,attack8
2017-01-17 13:00:00,4.25,0.49,3.83,3.24,3.88,5.49,2.8,118.88,1,0.0,0,0.0,0,36.57,1,0,0,0.0,0,48.46,1,34.01,1,0,0,30.34,1,0,0,91.68,1,2.99,22.4,24.62,101.68,24.78,85.05,19.55,83.2,19.44,68.34,27.87,26.97,attack8
2017-01-17 14:00:00,3.83,0.59,4.34,3.5,3.55,5.5,3.51,117.34,1,0.0,0,0.0,0,35.61,1,0,0,0.0,0,48.6,1,0.0,0,0,0,31.33,1,0,0,89.38,1,2.99,23.28,26.65,68.35,26.62,86.62,26.82,62.66,26.7,72.29,29.23,28.33,attack8
2017-01-17 15:00:00,3.45,1.01,4.75,3.96,2.82,5.5,4.05,117.2,1,0.0,0,0.0,0,35.73,1,0,0,0.0,0,49.49,1,0.0,0,0,0,31.39,1,0,0,87.57,1,2.99,23.36,26.92,69.36,26.88,85.21,26.81,62.43,26.69,72.09,29.49,28.59,attack8
2017-01-17 16:00:00,3.11,1.41,5.07,4.0,2.16,5.5,4.48,117.43,1,0.0,0,0.0,0,35.51,1,0,0,0.0,0,49.36,1,0.0,0,0,0,31.13,1,0,0,84.43,1,2.99,23.23,27.16,68.9,27.12,85.69,26.66,61.3,26.55,72.83,29.71,28.81,attack8
2017-01-17 17:00:00,2.81,1.77,5.14,4.15,1.54,5.41,4.41,116.95,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,49.49,1,37.28,1,0,0,0.0,0,0,0,83.45,1,2.99,23.51,27.47,69.8,27.43,85.75,26.01,83.84,26.01,57.65,30.01,29.11,attack8
2017-01-17 18:00:00,2.54,2.12,4.54,4.26,2.06,5.02,2.65,118.11,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,48.51,1,37.1,1,0,0,0.0,0,0,0,83.61,1,2.99,22.84,26.09,102.9,26.26,86.44,25.35,83.51,25.35,55.98,29.3,28.4,attack8
2017-01-17 19:00:00,2.15,1.92,4.1,4.58,2.45,5.05,2.31,120.34,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,34.74,1,0,0,30.48,1,0,0,68.83,1,2.99,21.55,26.81,103.17,27.02,64.83,18.19,80.6,18.08,66.53,29.49,28.59,attack8
2017-01-17 20:00:00,1.72,2.11,3.67,3.18,2.74,5.17,2.24,119.74,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,34.7,1,0,0,30.57,1,0,0,52.99,1,2.99,21.9,29.11,68.19,29.11,59.92,18.5,80.98,18.39,66.53,31.32,30.42,attack8
2017-01-17 21:00:00,1.32,2.3,3.25,2.97,3.04,5.28,2.16,121.41,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,50.45,1,34.36,1,0,0,30.52,1,0,0,60.31,1,2.99,20.93,27.2,67.35,27.16,83.62,17.52,80.59,17.41,65.72,29.63,28.73,attack8
2017-01-17 22:00:00,0.91,2.39,3.2,2.67,3.29,5.22,1.68,98.76,1,98.78,1,0.0,0,36.27,1,0,0,0.0,0,50.66,1,34.67,1,0,0,30.56,1,0,0,76.77,1,2.97,33.64,27.74,68.82,27.7,83.73,19.1,81.64,18.99,67.15,30.26,29.36,attack8
2017-01-17 23:00:00,0.81,2.66,3.43,2.48,3.62,5.4,1.95,98.14,1,98.16,1,0.0,0,34.86,1,0,0,0.0,0,50.05,1,34.79,1,0,0,30.79,1,0,0,76.66,1,2.97,33.97,28.04,66.53,27.99,85.25,19.23,81.57,19.12,66.53,30.55,29.65,attack8
2017-01-18 00:00:00,0.75,2.82,4.01,2.76,3.88,5.5,1.9,98.86,1,98.88,1,0.0,0,35.74,1,0,0,0.0,0,50.08,1,34.18,1,0,0,30.69,1,0,0,79.79,1,2.97,33.58,26.53,102.17,26.7,83.88,19.07,82.44,18.96,66.72,29.77,28.87,attack8
2017-01-18 01:00:00,0.74,2.6,4.49,2.68,3.51,5.5,2.15,97.67,1,97.69,1,0.0,0,33.46,1,0,0,0.0,0,48.16,1,0.0,0,0,0,30.49,1,0,0,85.05,1,2.97,34.22,26.66,104.0,26.82,87.65,26.13,63.13,26.02,74.42,29.86,28.96,attack8
2017-01-18 02:00:00,0.86,2.6,5.23,3.41,2.86,5.5,3.24,97.26,1,97.28,1,0.0,0,33.85,1,0,0,0.0,0,49.11,1,0.0,0,0,0,30.36,1,0,0,80.49,1,2.97,34.44,28.18,72.16,28.14,87.2,26.38,63.34,26.27,75.09,30.71,29.81,attack8
2017-01-18 03:00:00,1.0,2.93,5.02,3.93,2.36,5.5,4.3,96.56,1,96.58,1,0.0,0,0.0,0,0,0,0.0,0,48.16,1,0.0,0,0,0,29.96,1,0,0,80.97,1,2.98,34.82,28.58,73.12,28.54,89.37,26.8,63.13,26.69,76.84,31.1,30.2,attack8
2017-01-18 04:00:00,1.25,3.39,4.97,4.27,1.92,5.37,4.29,93.74,1,93.76,1,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,72.17,1,2.98,36.33,31.95,71.57,31.95,69.65,30.76,63.16,30.76,59.78,34.25,33.35,attack8
2017-01-18 05:00:00,1.64,4.15,4.52,3.55,1.61,5.08,3.04,95.05,1,95.07,1,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,64.8,1,2.98,35.63,32.06,71.87,32.06,69.22,30.44,62.08,30.44,58.62,34.32,33.42,attack8
2017-01-18 06:00:00,1.77,4.78,4.59,2.89,1.97,5.12,2.86,96.86,1,96.88,1,0.0,0,0.0,0,0,0,0.0,0,49.41,1,34.93,1,0,0,30.05,1,0,0,69.5,1,2.98,34.66,29.93,71.35,29.89,88.38,20.39,82.49,20.29,70.12,32.4,31.5,attack8
2017-01-18 07:00:00,1.75,4.99,4.09,3.59,2.51,5.46,3.65,96.56,1,96.58,1,0.0,0,0.0,0,0,0,0.0,0,49.94,1,34.25,1,0,0,30.85,1,0,0,69.07,1,2.98,34.82,30.11,69.33,30.06,87.52,20.45,83.7,20.34,67.57,32.57,31.67,attack8
2017-01-18 08:00:00,1.76,5.07,4.24,4.06,3.18,5.5,3.63,97.6,1,97.62,1,0.0,0,0.0,0,0,0,0.0,0,49.1,1,34.63,1,0,0,29.46,1,0,0,71.31,1,2.97,34.26,28.71,106.22,28.86,87.92,20.31,82.9,20.2,71.93,31.83,30.93,attack8
2017-01-18 09:00:00,1.67,4.8,3.85,4.58,3.67,5.5,4.26,97.58,1,97.6,1,0.0,0,0.0,0,0,0,0.0,0,0.0,0,35.05,1,0,0,30.17,1,0,0,67.22,1,2.97,34.27,29.56,104.44,29.78,62.16,19.98,81.86,19.87,69.32,32.26,31.36,attack8
2017-01-18 10:00:00,1.61,5.05,3.59,2.92,3.93,5.5,4.23,97.14,1,97.16,1,0.0,0,0.0,0,0,0,0.0,0,50.52,1,34.59,1,0,0,30.34,1,0,0,66.43,1,2.97,34.51,30.08,70.19,30.04,86.35,20.19,82.86,20.09,68.99,32.54,31.64,attack8
2017-01-18 11:00:00,1.71,5.24,3.19,3.27,3.41,5.5,4.24,97.17,1,97.19,1,0.0,0,0.0,0,0,0,0.0,0,50.77,1,0.0,0,0,0,31.26,1,0,0,66.22,1,2.97,34.49,30.25,67.56,30.21,86.02,26.76,62.62,26.64,72.47,32.71,31.81,attack8
2017-01-18 12:00:00,1.79,5.4,3.53,3.48,2.69,5.5,4.71,96.21,1,96.23,1,0.0,0,36.99,1,0,0,0.0,0,51.56,1,0.0,0,0,0,31.03,1,0,0,69.16,1,2.98,35.01,30.46,71.26,30.42,84.65,27.22,60.54,27.1,73.71,32.94,32.04,attack8
2017-01-18 13:00:00,2.18,5.24,3.84,3.16,1.79,5.19,3.36,88.14,1,88.16,1,0.0,0,36.57,1,0,0,0.0,0,49.66,1,0.0,0,0,0,0.0,0,0,0,0.0,0,2.98,39.27,28.27,69.25,28.23,86.23,34.16,61.38,34.16,54.03,43.32,29.65,attack8
2017-01-18 14:00:00,2.61,4.71,4.3,3.52,1.78,5.07,2.37,93.12,1,93.14,1,0.0,0,35.61,1,0,0,0.0,0,49.83,1,36.03,1,0,0,31.14,1,0,0,0.0,0,2.98,36.66,27.74,69.04,27.7,85.38,21.57,81.74,21.45,67.67,39.66,29.11,attack8
2017-01-18 15:00:00,2.83,3.83,4.58,3.6,2.17,5.28,2.59,93.27,1,93.29,1,0.0,0,35.73,1,0,0,0.0,0,47.51,1,35.48,1,0,0,31.35,1,0,0,0.0,0,2.98,36.57,22.26,100.75,22.41,84.42,21.67,82.8,21.55,67.08,39.64,24.23,attack8
2017-01-18 16:00:00,3.03,2.84,5.06,3.76,2.68,5.41,2.51,91.87,1,91.88,1,0.0,0,35.51,1,0,0,0.0,0,47.05,1,35.95,1,0,0,31.24,1,0,0,0.0,0,2.98,37.32,21.41,100.22,21.55,84.39,22.36,82.67,22.25,68.15,40.49,23.36,attack8
2017-01-18 17:00:00,3.29,2.2,5.0,3.97,3.07,5.5,2.92,92.53,1,92.55,1,0.0,0,0.0,0,0,0,0.0,0,48.28,1,35.4,1,0,0,30.27,1,0,0,0.0,0,2.98,36.96,25.34,70.35,25.3,85.92,22.54,83.82,22.43,71.56,40.2,26.7,attack8
2017-01-18 18:00:00,3.5,1.69,4.8,4.26,3.6,5.5,3.54,91.7,1,91.72,1,0.0,0,0.0,0,0,0,0.0,0,48.01,1,35.82,1,0,0,30.63,1,0,0,0.0,0,2.98,37.4,24.85,69.43,24.81,85.91,22.84,83.37,22.72,70.69,40.72,26.21,attack8
2017-01-18 19:00:00,3.74,1.24,4.28,4.35,3.98,5.5,3.88,92.67,1,92.69,1,0.0,0,0.0,0,0,0,0.0,0,0.0,0,35.65,1,0,0,30.85,1,0,0,0.0,0,2.98,36.89,26.24,65.46,26.24,60.54,22.45,83.28,22.33,69.54,40.25,27.43,attack8
2017-01-18 20:00:00,4.06,1.11,3.75,2.97,3.23,5.5,4.07,90.24,1,90.26,1,0.0,0,0.0,0,0,0,0.0,0,48.47,1,0.0,0,0,0,32.63,1,0,0,0.0,0,2.98,38.17,24.24,68.66,24.2,84.46,30.75,62.06,30.63,71.65,42.06,25.6,attack8
2017-01-18 21:00:00,4.29,0.54,3.24,3.14,2.46,5.5,4.3,96.37,1,96.39,1,0.0,0,0.0,0,0,0,0.0,0,49.43,1,0.0,0,0,0,32.64,1,0,0,110.64,1,2.98,34.92,24.78,101.06,24.95,83.39,28.23,59.64,28.11,69.11,28.2,27.3,attack8
2017-01-18 22:00:00,4.09,0.65,3.03,2.89,1.48,5.5,3.98,96.94,1,96.96,1,0.0,0,36.27,1,0,0,0.0,0,49.45,1,35.83,1,0,0,30.86,1,0,0,106.17,1,2.98,34.62,24.86,101.93,25.02,83.42,20.85,81.38,20.74,67.93,28.23,27.33,attack8
2017-01-18 23:00:00,3.79,0.73,3.72,2.73,1.87,5.5,3.63,97.16,1,97.18,1,0.0,0,34.86,1,0,0,0.0,0,49.63,1,35.85,1,0,0,29.92,1,0,0,104.4,1,2.97,34.5,24.98,103.15,25.12,83.18,20.88,81.36,20.77,71.03,28.29,27.39,attack8
2017-01-19 00:00:00,3.51,0.81,4.05,2.5,2.22,5.5,4.08,96.76,1,96.78,1,0.0,0,35.74,1,0,0,0.0,0,49.22,1,35.47,1,0,0,29.96,1,0,0,104.94,1,2.98,34.71,25.05,102.94,25.2,84.05,21.13,82.27,21.02,71.13,28.38,27.48,attack8
2017-01-19 01:00:00,3.28,0.95,4.54,2.64,2.66,5.5,4.46,95.48,1,95.5,1,0.0,0,33.46,1,0,0,0.0,0,48.58,1,35.55,1,0,0,29.54,1,0,0,106.01,1,2.98,35.4,25.83,90.01,25.89,85.94,21.84,82.85,21.74,73.21,28.91,28.01,attack8
2017-01-19 02:00:00,3.22,1.2,5.21,3.13,3.15,5.34,4.04,95.74,1,95.75,1,0.0,0,33.85,1,0,0,0.0,0,48.34,1,36.75,1,0,0,0.0,0,0,0,104.27,1,2.98,35.26,26.07,91.35,26.13,86.63,27.46,86.27,27.46,59.17,29.13,28.23,attack8
2017-01-19 03:00:00,3.19,1.44,5.15,3.66,3.79,5.02,2.69,95.19,1,95.21,1,0.0,0,0.0,0,0,0,0.0,0,47.73,1,36.28,1,0,0,0.0,0,0,0,104.11,1,2.98,35.55,26.37,92.88,26.42,88.03,27.67,87.33,27.67,59.0,29.4,28.5,attack8
2017-01-19 04:00:00,3.2,1.75,4.85,4.34,3.91,5.22,3.09,94.63,1,94.64,1,0.0,0,0.0,0,0,0,0.0,0,47.68,1,0.0,0,0,0,31.84,1,0,0,96.03,1,2.98,35.86,28.27,76.01,28.24,89.94,28.46,65.18,28.34,72.18,30.89,29.99,attack8
2017-01-19 05:00:00,3.36,2.51,4.61,3.97,3.61,5.5,4.21,94.09,1,94.11,1,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,29.37,1,0,0,76.47,1,2.98,36.14,31.47,76.6,31.47,67.5,29.13,64.9,29.03,81.02,33.79,32.89,attack8
2017-01-19 06:00:00,3.59,3.33,4.9,2.95,3.31,5.39,4.33,94.22,1,94.24,1,0.0,0,0.0,0,0,0,0.0,0,50.3,1,0.0,0,0,0,0.0,0,0,0,91.76,1,2.98,36.07,29.41,74.2,29.37,86.13,31.64,63.36,31.64,60.91,32.02,31.12,attack8

